id,topic,text,label,essay_id
,Learner Corpus (Non-Native),"Beyond their primary benefits to humanity, plastic bags also pose significant problems for both humans and the environment. Consequently, there are compelling reasons to advocate for a ban on plastic bags. Presently, plastic bags are ubiquitous. This is primarily because they do not truly decompose; instead, they merely break down into smaller fragments, often found in water bodies. They also obstruct street drains in many urban areas and litter national parks and residential areas, causing widespread environmental and aesthetic issues. Moreover, plastic bags are a major product of the petrochemical industry. This process involves the transformation of fossil fuels, extracted from shale and other geological formations, into resin pellets. These pellets are then used to manufacture an increasing volume of plastics, which are often designed for single use and subsequently discarded.",non-native,115
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). May 2005 _(This essay is derived from a talk at the Berkeley CSUA.)_ The three big powers on the Internet now are Yahoo, Google, and Microsoft. Average age of their founders: 24. So it is pretty well established now that grad students can start successful companies. And if grad students can do it, why not undergrads? Like everything else in technology, the cost of starting a startup has decreased dramatically. Now it's so low that it has disappeared into the noise. The main cost of starting a Web-based startup is food and rent. Which means it doesn't cost much more to start a company than to be a total slacker. You can probably start a startup on ten thousand dollars of seed funding, if you're prepared to live on ramen. The less it costs to start a company, the less you need the permission of investors to do it. So a lot of people will be able to start companies now who never could have before. The most interesting subset may be those in their early twenties. I'm not so excited about founders who have everything investors want except intelligence, or everything except energy. The most promising group to be liberated by the new, lower threshold are those who have everything investors want except experience. **Market Rate** I once claimed that [nerds](nerds.html) were unpopular in secondary school mainly because they had better things to do than work full-time at being",native,244
,Learner Corpus (Non-Native),"In conclusion, the environmental impact of plastic bags is profound, encompassing pollution, disposal challenges, harm to living organisms, and contributions to natural disasters such as flooding. Consequently, their prohibition is advocated. Public education initiatives are crucial for raising awareness about the detrimental effects of plastic bags within communities. Individuals must also consistently reinforce their understanding of these harmful effects, thereby fostering a gradual transition towards habitual avoidance of plastic bags",non-native,120
85.0,The role of biodiversity in ecosystem services,"In recent years, the discussion surrounding The role of biodiversity in ecosystem services has gained significant momentum. Advancements in technology have drastically altered the landscape of The role of biodiversity in ecosystem services. While some argue that The role of biodiversity in ecosystem services brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The role of biodiversity in ecosystem services one of the most debated subjects of our time. As we look ahead, the lessons learned from The role of biodiversity in ecosystem services will be vital for sustainable global development.",ai,85
89.0,The role of local governments in climate action,"In recent years, the discussion surrounding The role of local governments in climate action has gained significant momentum. Historically, The role of local governments in climate action has been influenced by a variety of social and economic factors. Observers note that the integration of The role of local governments in climate action into daily life has changed how we perceive progress. Furthermore, the ethical considerations of The role of local governments in climate action cannot be ignored in the pursuit of innovation. Ultimately, the evolution of The role of local governments in climate action serves as a testament to human ingenuity and the constant drive for improvement.",ai,89
19.0,The evolution of democracy in ancient Greece,"In recent years, the discussion surrounding The evolution of democracy in ancient Greece has gained significant momentum. Advancements in technology have drastically altered the landscape of The evolution of democracy in ancient Greece. While some argue that The evolution of democracy in ancient Greece brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The evolution of democracy in ancient Greece one of the most debated subjects of our time. Ultimately, the evolution of The evolution of democracy in ancient Greece serves as a testament to human ingenuity and the constant drive for improvement.",ai,19
98.0,The future of high-speed rail,"In recent years, the discussion surrounding The future of high-speed rail has gained significant momentum. Historically, The future of high-speed rail has been influenced by a variety of social and economic factors. Observers note that the integration of The future of high-speed rail into daily life has changed how we perceive progress. Furthermore, the ethical considerations of The future of high-speed rail cannot be ignored in the pursuit of innovation. In conclusion, The future of high-speed rail will continue to shape our future in ways we are only beginning to understand.",ai,98
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). October 2005 _(This essay is derived from a talk at the 2005[Startup School.](http://startupschool.org))_ How do you get good ideas for [startups](start.html)? That's probably the number one question people ask me. I'd like to reply with another question: why do people think it's hard to come up with ideas for startups? That might seem a stupid thing to ask. Why do they _think_ it's hard? If people can't do it, then it _is_ hard, at least for them. Right? Well, maybe not. What people usually say is not that they can't think of ideas, but that they don't have any. That's not quite the same thing. It could be the reason they don't have any is that they haven't tried to generate them. I think this is often the case. I think people believe that coming up with ideas for startups is very hard-- that it _must_ be very hard-- and so they don't try do to it. They assume ideas are like miracles: they either pop into your head or they don't. I also have a theory about why people think this. They overvalue ideas. They think creating a startup is just a matter of implementing some fabulous initial idea. And since a successful startup is worth millions of dollars, a good idea is therefore a million dollar idea. If coming up with an idea for a startup equals coming up with a million dollar idea, then of course it's",native,235
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). November 2005 Venture funding works like gears. A typical startup goes through several rounds of funding, and at each round you want to take just enough money to reach the speed where you can shift into the next gear. Few startups get it quite right. Many are underfunded. A few are overfunded, which is like trying to start driving in third gear. I think it would help founders to understand funding better—not just the mechanics of it, but what investors are thinking. I was surprised recently when I realized that all the worst problems we faced in our startup were due not to competitors, but investors. Dealing with competitors was easy by comparison. I don't mean to suggest that our investors were nothing but a drag on us. They were helpful in negotiating deals, for example. I mean more that conflicts with investors are particularly nasty. Competitors punch you in the jaw, but investors have you by the balls. Apparently our situation was not unusual. And if trouble with investors is one of the biggest threats to a startup, managing them is one of the most important skills founders need to learn. Let's start by talking about the five sources of startup funding. Then we'll trace the life of a hypothetical (very fortunate) startup as it shifts gears through successive rounds. **Friends and Family** A lot of startups get their first funding from friends and family. Excite did, for example:",native,284
,Learner Corpus (Non-Native),"Plastic bags deteriorate our environment, destroying the ecosystem because it causes a lot of land and water pollution. Plastic bags are difficult to recycle or breakdown and usually end up on the surface of water bodies and in the soil. This causes a large mass of pollution since they are non- biodegradable hence, making it a challenge to completely dispose of. Additionally, it causes an untimely death of so many animals, which in turn causes air pollution. Larger pieces of plastic satisfy the hunger of creatures, as these plastic bags usually find their way around their food, making them eat less and very weak as a result. The plastic bags then blocks their gastrointestinal tract, making the plastic not eligible for excretion. This then causes great damage to their system and untimely death in most cases, not forgetting air pollution as the animal, especially those on land decompose. Finally, plastic bags poses a negative impact on human health.",non-native,140
