essay_id,topic,text,label
1,Learner Corpus (Non-Native),"Plastic bags, while representing one of the most economical and convenient methods for packaging, carrying, and transporting various goods such as food and clothing, and occupying less space than alternatives like paper bags, are ubiquitous in modern life. However, the public often remains largely unaware of the myriad environmental and societal problems they pose. This essay argues that plastic bags ought to be banned due to their significant contributions to",non-native
2,Learner Corpus (Non-Native),"This phenomenon results in a global temperature increase, thereby instigating climate change. Climate change has intensified storms, altered weather patterns, exacerbated droughts, increased ocean acidification, and led to rising sea levels. Should these trends persist, the consequences could be catastrophic, profoundly impacting the well-being of humans, wildlife, and global ecosystems. Furthermore, the prohibition of plastic bags is warranted due to their detrimental effects on",non-native
3,Learner Corpus (Non-Native),"Animals can become entangled in plastic bags, leading to suffocation and drowning. Furthermore, plastic bags have detrimental effects on human populations. They can clog sewage systems and storm drains, resulting in severe flooding. Such flooding leads to the destruction of property and the loss of human lives. Moreover, flooding facilitates mosquito breeding and increases exposure to waterborne diseases, particularly as it can lead to the release of toxins into rivers. These combined factors contribute to serious public health issues. Improperly disposed plastic bags also pose a significant hazard to children. Approximately 20 children die annually from suffocation caused by plastic bags. Children can suffocate when playing with bags, for instance, by putting them over their heads, falling into them, or choking on them if swallowed. Overall, plastic bags exert profound negative impacts throughout their entire lifecycle, affecting human health, endangering animal populations, and contributing to changes in climate patterns. Therefore, a comprehensive ban on plastic bags is imperative before these detrimental effects become increasingly severe.",non-native
4,Learner Corpus (Non-Native),"The promotion of eco-friendly alternatives, such as reusable jute and cloth bags, is essential for fostering environmental sustainability. Over time, plastics have become an integral part of our daily lives, ubiquitous in items ranging from the smallest confectionery wrappers to large containers. Consequently, plastic bags are widely utilized globally due to their inherent convenience. Despite their numerous benefits, however, plastic bags represent a significant contributor to environmental pollution",non-native
5,Learner Corpus (Non-Native),"Studies have shown that over one trillion plastic bags are used worldwide annually. The disposal of these bags is a significant concern; if incinerated, they release harmful gases into the atmosphere, which can cause serious health issues upon inhalation. Furthermore, as plastic waste accumulates, it poses a threat to ecosystems, endangering both plant and animal life. For plants, the inability of plastic bags in the soil to degrade leads to a loss of soil fertility, significantly affecting plant yield. Similarly, when plastic bags are carelessly disposed of, animals such as dogs, cows, and cats may ingest them, leading to blockages in their digestive systems. This can result in a slow and premature death if not detected promptly. Plastic bags also pose a significant threat to marine life, wildlife, and human health. Given that most plastic bags disposed worldwide eventually end up in the sea if not accumulated on land, marine and wildlife, including birds, fish, and sea turtles, often mistake them for food and ingest them.",non-native
6,Learner Corpus (Non-Native),"As marine organisms consume plastic, it bioaccumulates through the food web, ultimately reaching humans who consume fish and other marine animals. Furthermore, plastic bags contain pollutants, such as polycyclic aromatic hydrocarbons (PAHs), which are known to disrupt human endocrine function, leading to hormonal imbalances. Consequently, the consumption of marine life that has ingested plastic waste can have severe health implications for humans, including serious diseases",non-native
7,Learner Corpus (Non-Native),"Furthermore, if the liquids flowing in these gutters are impeded from moving freely, they become stagnant, transforming into breeding grounds for harmful insects like mosquitoes. Individuals residing near these gutters, which, due to plastic bag accumulation, become breeding sites for harmful insects, consequently face significant health risks. For example, if young individuals are exposed to drainage systems that are clogged by plastic bags, leading to stagnation, mosquitoes will inevitably proliferate there, rendering these young people susceptible to malaria. Moreover, this not only threatens the health of these young individuals but also poses a threat to the national economy, as affected individuals will require time off work if diagnosed with malaria. Consequently, this leads to reduced productivity, thereby destabilizing the nation's economy. In conclusion, although the widespread use of plastic bags poses a significant threat to society, the issue remains largely overlooked and underestimated.",non-native
8,Learner Corpus (Non-Native),"This situation arises from an insufficient critical analysis of the long-term effects of these conveniently portable plastic bags. Furthermore, their widespread use persists globally, largely owing to their inherent convenience. These bags do not fully biodegrade, indicating that as long as their production and introduction into the environment continue, plastic pollution and its associated detrimental effects will escalate. Consequently, a ban on plastic bags is imperative to safeguard the environment and the planet.

Individuals often prioritize convenience in their daily lives, whether at home, in the workplace, or in any other setting. Driven by the pursuit of convenience within the business sector, plastic bags, which are derived from crude oil, have been widely adopted owing to their ease of packaging and inherent durability. Consequently, plastic bags are ubiquitous, largely due to their affordability, durability, and the convenient packaging solution they offer for both businesses and consumers.",non-native
9,Learner Corpus (Non-Native),"Despite the numerous important uses of plastic bags, the environmental threats they pose cannot be overlooked. Plastic bags have been recognized as one of the primary causes of environmental degradation in recent years, largely due to their pervasive abundance. The three principal harms inflicted by plastic bags upon the environment include the endangerment of lives, environmental pollution, and soil contamination. Specifically, one significant harm caused by plastic bags is the endangerment of both human and animal lives. According to a research study by the United Nations (UN), plastic annually kills over 1.1 million seabirds and marine animals, including whales, dolphins, turtles, and penguins. Furthermore, it is estimated that more than 90 percent of all birds and fish have ingested plastic particles. Compounding this issue, even after the death and decomposition of these animals, the ingested plastic particles remain intact. Consequently, other animals may ingest these persistent particles, leading to further fatalities, given that plastics decompose over an extremely protracted period.",non-native
10,Learner Corpus (Non-Native),"A study on environmental pollution indicates that the average person ingests approximately 70,000 microplastic particles annually through food, posing a significant threat to human health. A second major detrimental effect of plastic bags is their pervasive contribution to environmental pollution. The entire lifecycle of plastic bags, from manufacturing to disposal, poses significant environmental toxicity. Research indicates that a single plastic bag can take between",non-native
